,dataset,network,relaxation,time_mean,time_std,expl_size_mean,expl_size_std,fidelity
4,diabetes,Net_2x16_hidden,0,0.1916595220000454,0.0490767901191181,5.69,1.2140428328522843,0.99
5,diabetes,Net_2x16_hidden,2,0.1501203319997148,0.0721344558586974,6.93,1.2268251709188231,0.98
6,diabetes,Net_2x16_hidden,4,0.1438221409998368,0.0583084815897311,6.43,1.5953369550035503,0.85
7,diabetes,Net_2x16_hidden,8,0.1107888249997631,0.0518068716030759,7.37,1.1545994976614185,1.0
8,diabetes,Net_2x32_hidden,0,0.3441929620000155,0.081736981185613,5.44,1.2831211945876353,1.0
9,diabetes,Net_2x32_hidden,2,0.3061712190000616,0.1063170192016758,6.26,1.5007997867803686,1.0
10,diabetes,Net_2x32_hidden,4,0.2821664660000533,0.1015515104238211,6.32,1.5484185480676729,1.0
11,diabetes,Net_2x32_hidden,8,0.2297789089999059,0.0818486106145131,7.39,1.0573079021741962,1.0
12,diabetes,Net_2x48_hidden,0,0.5969039879999763,0.2348151747616971,5.29,1.1772425408555367,0.99
13,diabetes,Net_2x48_hidden,2,0.5599776660000861,0.199999561584288,5.59,1.2336531116971254,1.0
14,diabetes,Net_2x48_hidden,4,0.5520726520002063,0.237972294373077,5.69,1.3542156401400776,1.0
15,diabetes,Net_2x48_hidden,8,0.3712044269999023,0.2508460641884484,6.85,1.3955285736952865,0.99
16,diabetes,Net_3x16_hidden,0,0.2894778590001806,0.0500973067766306,4.78,1.4253420642077466,1.0
17,diabetes,Net_3x16_hidden,2,0.2493894190001083,0.0702183450714713,6.02,1.5098344280085814,1.0
18,diabetes,Net_3x16_hidden,4,0.2365905590000693,0.0798391517347711,6.96,1.4136477637657836,1.0
19,diabetes,Net_3x16_hidden,8,0.1994080129999565,0.0501127531918262,7.93,0.3536947836765477,1.0
20,diabetes,Net_3x32_hidden,0,0.5026709699999992,0.1047365735390043,5.5,1.2922847983320085,1.0
21,diabetes,Net_3x32_hidden,2,0.4950236350001069,0.1223154235340508,5.95,1.243985530462473,0.99
22,diabetes,Net_3x32_hidden,4,0.4268645759998253,0.1252854540195586,6.7,1.3527749258468684,0.99
23,diabetes,Net_3x32_hidden,8,0.4114524270002221,0.1096645533296568,7.14,1.1403508232118746,1.0
24,diabetes,Net_3x48_hidden,0,1.6057179320000068,1.337651850731158,4.62,1.2631706139710503,1.0
25,diabetes,Net_3x48_hidden,2,0.946529362000183,0.3525455423295693,6.04,1.6057397049335238,1.0
26,diabetes,Net_3x48_hidden,4,1.305970545999953,0.7853788041532724,5.09,1.4497930886854165,1.0
27,diabetes,Net_3x48_hidden,8,0.7286151150001388,0.3276218539758164,7.13,1.3390668392578466,1.0
28,diabetes,Net_4x16_hidden,0,0.3445447959998637,0.057401458715317,5.53,1.195449706177554,1.0
29,diabetes,Net_4x16_hidden,2,0.2782185120000576,0.0828001562554091,6.94,1.347738847106516,1.0
30,diabetes,Net_4x16_hidden,4,0.2597461739999926,0.0621028696295763,7.31,1.110810514894417,1.0
31,diabetes,Net_4x16_hidden,8,0.1673982730002171,0.0604480073014458,7.98,0.1399999999999999,1.0
32,diabetes,Net_4x32_hidden,0,0.7445786599999701,0.1601722531947407,5.33,1.435653161456485,1.0
33,diabetes,Net_4x32_hidden,2,0.6574906589998863,0.1675429108598747,6.17,1.6065802189744525,1.0
34,diabetes,Net_4x32_hidden,4,0.6204229249998753,0.2044670129763315,6.35,1.745709025009609,1.0
35,diabetes,Net_4x32_hidden,8,0.4485459949999131,0.121362210695308,7.78,0.701141925718324,1.0
36,diabetes,Net_4x48_hidden,0,1.5945176229995923,1.487100160133495,5.8,1.077032961426901,1.0
37,diabetes,Net_4x48_hidden,2,1.0738119740003094,0.9269889066552791,6.77,1.1987910576910392,1.0
38,diabetes,Net_4x48_hidden,4,0.7334641439999541,0.37378646577738256,7.49,0.9848350115628505,1.0
39,diabetes,Net_4x48_hidden,8,0.527480471999952,0.14957421340331023,7.96,0.2416609194718914,1.0
