,dataset,network,relaxation,time_mean,time_std,expl_size_mean,expl_size_std,fidelity
0,glass,Net_2x16_hidden,0,0.2286207257009358,0.0536955634659019,6.920560747663552,1.0538082534762994,0.4532710280373832
1,glass,Net_2x16_hidden,2,0.2413451546729524,0.0510621646265187,6.172897196261682,1.0244734315058142,0.4859813084112149
2,glass,Net_2x16_hidden,4,0.133280715887909,0.0544677213659033,8.948598130841122,0.259713892179257,0.9906542056074766
3,glass,Net_2x16_hidden,8,0.1233427126168531,0.05042681272423,8.77570093457944,0.6311006735003414,0.9813084112149532
4,glass,Net_2x32_hidden,0,0.3865020121495257,0.1044105764695926,7.107476635514018,1.1889837751956078,0.9953271028037384
5,glass,Net_2x32_hidden,2,0.3156857733646379,0.1115497977001808,8.214953271028037,1.1276311899819649,1.0
6,glass,Net_2x32_hidden,4,0.2714683453271128,0.0844785425573597,8.602803738317757,0.8238226312966235,1.0
7,glass,Net_2x32_hidden,8,0.3599786275700123,0.1116303309493667,6.238317757009346,2.433072165126371,0.8785046728971962
8,glass,Net_2x48_hidden,0,0.4948469532710333,0.1472553537135833,6.953271028037383,0.9942185920544804,0.9018691588785048
9,glass,Net_2x48_hidden,2,0.4058886341121013,0.1480168470054623,7.780373831775701,1.001581856559907,1.0
10,glass,Net_2x48_hidden,4,0.3820450443926322,0.14458451296839,8.02803738317757,1.071795976585529,1.0
11,glass,Net_2x48_hidden,8,0.3332454364487016,0.1325467602065299,8.57943925233645,0.7738408054012879,1.0
12,glass,Net_3x16_hidden,0,0.3182488079439927,0.0777889747942734,7.44392523364486,0.9192314516484472,1.0
13,glass,Net_3x16_hidden,2,0.2635506219626179,0.0967355055842292,8.014018691588785,1.108501438385607,0.9579439252336448
14,glass,Net_3x16_hidden,4,0.2609521948597745,0.1096264777698628,7.616822429906542,1.476576362236505,0.8925233644859814
15,glass,Net_3x16_hidden,8,0.1640112186916548,0.0530741321351808,9.0,0.0,1.0
16,glass,Net_3x32_hidden,0,1.710071250467285,1.1474012074781772,5.546728971962617,1.389265775088958,0.5280373831775701
17,glass,Net_3x32_hidden,2,0.7025396443924985,0.2067398884808595,7.532710280373831,1.2554014661837,0.8037383177570093
18,glass,Net_3x32_hidden,4,0.4955179462616644,0.1606614465150714,8.80373831775701,0.5458295981476201,1.0
19,glass,Net_3x32_hidden,8,0.4878146093457795,0.1360406917438762,8.80841121495327,0.4983377031855817,0.9953271028037384
