,dataset,network,relaxation,time_mean,time_std,expl_size_mean,expl_size_std,fidelity
0,heart-statlog,Net_2x16_hidden,0,0.4009638049999921,0.0664536884359455,8.52,1.6029971927611102,1.0
1,heart-statlog,Net_2x16_hidden,2,0.331555575999846,0.1231995762187977,9.91,2.209502206380433,1.0
2,heart-statlog,Net_2x16_hidden,4,0.1217654809999658,0.0307362391795601,13.0,0.0,1.0
3,heart-statlog,Net_2x16_hidden,8,0.1146098960000381,0.0255845996001138,12.99,0.0994987437106619,1.0
4,heart-statlog,Net_2x32_hidden,0,0.6861494920000405,0.1987072316999658,8.61,1.4134709052541548,1.0
5,heart-statlog,Net_2x32_hidden,2,0.4709395839998615,0.2152682415175832,10.37,2.17096752624262,1.0
6,heart-statlog,Net_2x32_hidden,4,0.4540094859998498,0.1941290650321343,10.36,2.1331666601557413,1.0
7,heart-statlog,Net_2x32_hidden,8,0.2579453519998423,0.1354416290964954,12.6,1.174734012447073,1.0
8,heart-statlog,Net_2x48_hidden,0,1.5270907140001144,0.8102761983868804,8.61,1.580474612260507,1.0
9,heart-statlog,Net_2x48_hidden,2,1.5892370420000588,1.3191000275397964,8.97,1.6398475538903,1.0
10,heart-statlog,Net_2x48_hidden,4,0.9119467859996804,0.5686583540269845,10.44,1.7681628884240277,1.0
11,heart-statlog,Net_2x48_hidden,8,0.3078427669994562,0.1545278225604061,12.9,0.4795831523312719,1.0
12,heart-statlog,Net_3x16_hidden,0,0.5910643980001623,0.1029466626018773,8.45,1.8459414941974728,1.0
13,heart-statlog,Net_3x16_hidden,2,0.4788146959998267,0.1463863787734139,10.09,2.6423285185608547,1.0
14,heart-statlog,Net_3x16_hidden,4,0.4055710149998049,0.1316167453896135,11.9,1.8734993995195195,1.0
15,heart-statlog,Net_3x16_hidden,8,0.2197717430006014,0.0659127192842792,13.0,0.0,1.0
16,heart-statlog,Net_3x32_hidden,0,1.6306935790001444,0.8135568476792331,8.33,1.3568714014231416,1.0
17,heart-statlog,Net_3x32_hidden,2,1.19336439099985,0.6966300750087283,9.95,2.0118399538730705,1.0
18,heart-statlog,Net_3x32_hidden,4,0.6770156700001826,0.3074125312484212,12.08,1.5599999999999998,1.0
19,heart-statlog,Net_3x32_hidden,8,0.4557382279995363,0.1083182391630525,13.0,0.0,1.0
20,heart-statlog,Net_3x48_hidden,0,42.22251313600027,89.14191182562783,8.56,1.0423051376636308,1.0
21,heart-statlog,Net_3x48_hidden,2,14.918505367999824,16.115205594384125,9.4,1.47648230602334,0.99
22,heart-statlog,Net_3x48_hidden,4,7.720811598,8.575167439476012,10.73,1.642284993537967,1.0
23,heart-statlog,Net_3x48_hidden,8,2.232391715999911,4.007751269151108,12.42,1.1931470990619724,1.0
24,heart-statlog,Net_4x16_hidden,0,0.6039229760000308,0.0853547682533443,9.02,1.3854963009694397,1.0
25,heart-statlog,Net_4x16_hidden,2,0.41462698200019077,0.15887178905162871,8.53,6.086797187355596,0.7
26,heart-statlog,Net_4x16_hidden,4,0.30566893399976836,0.0753935497178846,13.0,0.0,1.0
27,heart-statlog,Net_4x16_hidden,8,0.2817611149998993,0.03682341713889511,13.0,0.0,1.0
