,dataset,network,relaxation,time_mean,time_std,expl_size_mean,expl_size_std,fidelity
0,iris,Net_2x16_hidden,0,0.0897447110008215,0.0368298225758126,2.51,0.6707458535093601,1.0
1,iris,Net_2x16_hidden,2,0.0856869919979362,0.0391199271992843,2.86,0.8126499861564016,1.0
2,iris,Net_2x16_hidden,4,0.0854167300002882,0.0361201849662149,3.02,0.8364209466530593,1.0
3,iris,Net_2x16_hidden,8,0.073971391999803,0.0365254924949105,3.28,0.8133879763065104,1.0
4,iris,Net_2x32_hidden,0,0.1002586709993192,0.0423180353666789,3.31,0.5038849074937648,1.0
5,iris,Net_2x32_hidden,2,0.1042358740014606,0.0431905499987121,3.32,0.5268775948927796,1.0
6,iris,Net_2x32_hidden,4,0.0986348370005725,0.0403222310058774,3.44,0.5535341001239219,1.0
7,iris,Net_2x32_hidden,8,0.0871824840008048,0.0404739533235575,3.75,0.49749371855331,1.0
8,iris,Net_3x16_hidden,0,0.1221294840006157,0.0341816029024013,2.96,0.6916646586316233,1.0
9,iris,Net_3x16_hidden,2,0.0867249089991673,0.0404037847659957,3.46,0.876584280032445,1.0
10,iris,Net_3x16_hidden,4,0.1152676160007831,0.0391215059084384,3.64,0.6711184694225006,1.0
11,iris,Net_3x16_hidden,8,0.0738484459996107,0.035883693331148,3.74,0.5407402333838309,1.0
12,iris,Net_3x32_hidden,0,0.2481786010003998,0.0592229514321917,2.68,0.6910861017268399,1.0
13,iris,Net_3x32_hidden,2,0.2523074720002478,0.0577920299524703,2.78,0.6867313885355758,1.0
14,iris,Net_3x32_hidden,4,0.2308442530033062,0.0547078944319762,2.92,0.702566722810012,1.0
15,iris,Net_3x32_hidden,8,0.2176819040018017,0.0626443100890203,3.75,0.4555216789572149,1.0
16,iris,Net_4x16_hidden,0,0.1311784130017622,0.0400808580089047,2.66,0.6959885056522126,1.0
17,iris,Net_4x16_hidden,2,0.1236996420010109,0.0551955905046919,2.79,0.7783957862167549,0.96
18,iris,Net_4x16_hidden,4,0.1153124310006387,0.0515082872609991,3.31,0.6737210105080588,1.0
19,iris,Net_4x16_hidden,8,0.1014549039999838,0.0427579190105061,3.94,0.2374868417407583,1.0
20,iris,Net_4x32_hidden,0,0.3320544639992295,0.06987055459325955,2.98,0.7068238818828916,1.0
21,iris,Net_4x32_hidden,2,0.3029931950007449,0.07652111956706277,3.46,0.8416650165000326,1.0
22,iris,Net_4x32_hidden,4,0.31259365499863634,0.05788506724504186,3.31,0.7575618786607466,1.0
23,iris,Net_4x32_hidden,8,0.28359312400280035,0.06523938728556491,3.55,0.5545268253204708,1.0
